zcta,TechCategory,block_count,median_advertised_download_mbps,median_advertised_upload_mbps,p75_advertised_download_mbps,p75_advertised_upload_mbps,max_advertised_download_mbps,max_advertised_upload_mbps,cv_advertised_download_mbps,cv_advertised_upload_mbps
94588,Copper (DSL/VDSL),224,50.0,10.0,100.0,20.0,100.0,20.0,0.7220595359977631,0.7980190566027882
94588,Fiber to the Premises,15,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94588,Fixed Wireless,1,200.0,200.0,200.0,200.0,200.0,200.0,,
94601,Copper (DSL/VDSL),368,75.0,20.0,100.0,20.0,100.0,20.0,0.4493923320552726,0.47434573405751657
94601,Fiber to the Premises,294,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94602,Copper (DSL/VDSL),231,50.0,10.0,75.0,20.0,100.0,20.0,0.4204239320249146,0.4500292640792188
94602,Fiber to the Premises,224,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94603,Copper (DSL/VDSL),264,50.0,10.0,100.0,20.0,100.0,20.0,0.5915500733095956,0.6183792298290486
94603,Fiber to the Premises,248,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94605,Copper (DSL/VDSL),366,50.0,10.0,100.0,20.0,100.0,20.0,0.46898512328029207,0.4820043604477329
94605,Fiber to the Premises,333,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94606,Copper (DSL/VDSL),353,100.0,20.0,100.0,20.0,100.0,20.0,0.2807949811614471,0.27991223130243453
94606,Fiber to the Premises,138,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94607,Copper (DSL/VDSL),397,50.0,10.0,100.0,20.0,100.0,20.0,0.7504840740023451,0.7953163772799215
94607,Fiber to the Premises,96,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94607,Other/Unknown,2,0.416,0.416,0.416,0.416,0.416,0.416,0.0,0.0
94608,Copper (DSL/VDSL),327,75.0,20.0,100.0,20.0,100.0,20.0,0.4578933913791164,0.4685980266128779
94608,Fiber to the Premises,246,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94608,Fixed Wireless,3,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
94609,Copper (DSL/VDSL),212,100.0,20.0,100.0,20.0,100.0,20.0,0.3970828515105816,0.41725673483904263
94609,Fiber to the Premises,137,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94610,Copper (DSL/VDSL),200,75.0,20.0,100.0,20.0,100.0,20.0,0.49865982290716926,0.5074952815504
94610,Fiber to the Premises,140,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94610,Fixed Wireless,1,300.0,50.0,300.0,50.0,300.0,50.0,,
94611,Copper (DSL/VDSL),321,50.0,10.0,100.0,20.0,100.0,20.0,0.7114989843751808,0.7136644741702083
94611,Fiber to the Premises,249,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94611,Fixed Wireless,1,3.0,3.0,3.0,3.0,3.0,3.0,,
94612,Copper (DSL/VDSL),158,50.0,10.0,100.0,20.0,100.0,20.0,0.7105445142370459,0.8777512936656293
94612,Fiber to the Premises,50,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94613,Copper (DSL/VDSL),1,100.0,20.0,100.0,20.0,100.0,20.0,,
94613,Fiber to the Premises,1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,
94618,Copper (DSL/VDSL),186,50.0,10.0,100.0,20.0,100.0,20.0,0.44823259864520887,0.4701884097729687
94618,Fiber to the Premises,158,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94619,Copper (DSL/VDSL),196,50.0,10.0,100.0,20.0,100.0,20.0,0.43206199654589805,0.45763812003931686
94619,Fiber to the Premises,177,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94621,Copper (DSL/VDSL),266,100.0,20.0,100.0,20.0,100.0,20.0,0.46815527569899434,0.471792294134885
94621,Fiber to the Premises,96,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94621,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94702,Copper (DSL/VDSL),191,100.0,20.0,100.0,20.0,100.0,20.0,0.40937788361562205,0.40738812624726484
94702,Fiber to the Premises,54,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94703,Copper (DSL/VDSL),192,100.0,20.0,100.0,20.0,100.0,20.0,0.3799977531955694,0.3828263404768849
94703,Fiber to the Premises,60,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94704,Copper (DSL/VDSL),121,75.0,20.0,100.0,20.0,100.0,20.0,0.6039286142218571,0.7156878491663814
94704,Fiber to the Premises,28,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94705,Copper (DSL/VDSL),156,75.0,20.0,100.0,20.0,100.0,20.0,0.6967776466196928,0.7129373367939806
94705,Fiber to the Premises,94,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94706,Copper (DSL/VDSL),165,50.0,10.0,75.0,20.0,100.0,20.0,0.5878382952716077,0.6288486054087997
94706,Fiber to the Premises,153,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94707,Copper (DSL/VDSL),137,50.0,10.0,100.0,20.0,100.0,20.0,0.5991723027033655,0.6666622917117782
94707,Fiber to the Premises,50,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94708,Copper (DSL/VDSL),114,21.5,3.25,75.0,20.0,100.0,20.0,0.9986356051639974,0.9808301626280435
94708,Fiber to the Premises,62,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94708,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94709,Copper (DSL/VDSL),83,100.0,20.0,100.0,20.0,100.0,20.0,0.5986520383545254,0.6373758789188138
94709,Fiber to the Premises,35,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94710,Copper (DSL/VDSL),176,50.0,10.0,100.0,20.0,100.0,20.0,0.7056002061827633,0.7044177053552285
94710,Fiber to the Premises,30,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
94710,Other/Unknown,1,0.416,0.416,0.416,0.416,0.416,0.416,,
94720,Copper (DSL/VDSL),13,75.0,20.0,100.0,20.0,100.0,20.0,0.5128562778747874,0.5945990249125253
95391,Fixed Wireless,1,10.0,1.0,10.0,1.0,10.0,1.0,,
