geoid_2010,geoid_2020,AREALAND_INT
060014007004010,060014007004007,2157
060014007004011,060014007004008,18176
060014007004012,060014007004015,19433
060014007004013,060014007004015,681
060014007004014,060014007004017,18773
060014007004015,060014007004018,468
060014007004016,060014007004012,13401
060014007004017,060014007004013,408
060014007004018,060014007004012,578
060014007004019,060014007004014,2003
060014007004020,060014007004013,5882
060014007004021,060014007004005,14515
060014007004022,060014007004021,19508
060014007004023,060014007004020,18065
060014007004024,060014007004019,2520
060014007004025,060014007004006,2247
060014007004026,060014007004005,1819
060014007004027,060014007004018,778
060014007004028,060014007004016,20624
060014007004029,060014007004016,538
060014007004030,060014007004016,635
060014008001000,060014008001001,6879
060014008001001,060014008001009,11205
060014008001002,060014008001009,8856
060014008001003,060014008001008,1519
060014008001004,060014008001005,10218
060014008001005,060014008001004,9935
060014008001006,060014008001010,14218
060014008001007,060014008001011,4908
060014008001008,060014008001012,14573
060014008001009,060014008001013,10857
060014008001010,060014008001013,11253
060014008001011,060014008001014,1569
060014008001012,060014008001015,13253
060014008001013,060014008001016,26768
060014008001014,060014008001005,13031
060014008001015,060014008001018,6721
060014008001016,060014008001019,3659
060014008001017,060014008001020,7189
060014008001018,060014008001021,13110
060014008001019,060014008001007,1396
060014008001020,060014008001006,1292
060014008001021,060014008001017,1300
060014008001022,060014008001023,548
060014008001023,060014008001029,1267
060014008001024,060014008001022,15309
060014008001025,060014008001023,13056
060014008001026,060014008001025,8297
060014008001027,060014008001027,6513
060014008001028,060014008001022,540
060014008001029,060014008001013,596
060014008002000,060014008002000,12843
060014008002001,060014008002001,37272
060014008002002,060014008002002,74409
060014008002003,060014008002005,537
060014008002004,060014008002006,7512
060014008002005,060014008002007,15180
060014008002006,060014008002008,16300
060014008002007,060014008002009,8175
060014008002008,060014008002005,2236
060014008002009,060014008002010,6217
060014008002010,060014008002011,6200
060014008002011,060014008002012,6177
060014008002012,060014008002004,5827
060014008002013,060014008002003,12185
060014008003000,060014008003000,12101
060014008003001,060014008003000,16093
060014008003002,060014008003001,15640
060014008003003,060014008003002,13113
060014008003004,060014008003003,1934
060014008003005,060014008003004,13657
060014008003006,060014008003005,12962
060014008003007,060014008003006,12437
060014008003008,060014008003007,15791
060014008003009,060014008003008,15865
060014008003010,060014008003009,14749
060014008003011,060014008003010,674
060014008003012,060014008003011,13453
060014008003013,060014008003012,16193
060014008003014,060014008003013,24553
060014008003015,060014008003015,25116
060014008003016,060014008003010,1397
060014008003017,060014008003017,1046
060014008003018,060014008003017,816
060014008003019,060014008003019,2745
060014008003020,060014008003007,696
060014009001000,060014008003014,3766
060014009001001,060014009001000,7094
060014009001002,060014009001001,14038
060014009001003,060014008003016,7823
060014009001004,060014009001004,16737
060014009001005,060014009001005,15101
060014009001006,060014009001003,11899
060014009001007,060014009001002,12497
060014009001008,060014009001007,11898
060014009001009,060014009001006,15152
060014009001010,060014009001010,17961
060014009001011,060014009001012,14298
060014009001012,060014009001009,14615
060014009001013,060014009001013,22740
060014009001014,060014009001008,29378
060014009002000,060014009002000,24933
060014009002001,060014009002001,14904
060014009002002,060014009002003,17754
060014009002003,060014009002004,18253
060014009002004,060014009002005,19547
060014009002005,060014008003018,1334
060014009002006,060014009002007,11987
060014009002007,060014009002008,27508
060014009002008,060014009002009,1127
060014009002009,060014251041003,383
060014009002010,060014009002011,516
060014009002011,060014009002011,2590
060014009002012,060014009002011,5105
060014009002013,060014009002010,17096
060014009002014,060014009002012,16818
060014009002015,060014009002006,582
060014009002016,060014009002006,16799
060014010001000,060014010001000,519
060014010001001,060014010001001,29569
060014010001002,060014010001001,766
060014010001003,060014010001001,13695
060014010001004,060014010001007,6413
060014010001005,060014010001006,848
060014010001006,060014010001001,6156
060014010001007,060014010001002,257
060014010001008,060014010001002,9396
060014010001009,060014010001003,807
060014010001010,060014010001003,21653
060014010001011,060014010001003,20254
060014010001012,060014010001003,424
060014010001013,060014010001004,24611
060014010001014,060014010001005,568
060014010001015,060014010001005,23670
060014010001016,060014010001005,602
060014010001017,060014010001008,524
060014010001018,060014010001008,8150
060014010001019,060014010001006,17860
060014010001020,060014010001000,10040
060014010002000,060014010002000,593
060014010002001,060014010002000,15150
060014010002002,060014010002002,598
060014010002003,060014010002002,21064
060014010002004,060014010002003,565
060014010002005,060014010002003,17020
060014010002006,060014010002004,3984
060014010002007,060014010002005,3313
060014010002008,060014010002006,19038
060014010002009,060014010002006,501
060014010002010,060014010002007,20261
060014010002011,060014010002007,602
060014010002012,060014010002008,15331
060014010002013,060014010002010,603
060014010002014,060014010002010,14771
060014010002015,060014010002010,6790
060014010003000,060014010003000,585
060014010003001,060014010003000,15073
060014010003002,060014010003002,615
060014010003003,060014010003002,20155
060014010003004,060014010003003,524
060014010003005,060014010003003,18091
060014010003006,060014010003004,5237
060014010003007,060014010003005,23568
060014010003008,060014010003005,591
060014010003009,060014010003006,20143
060014010003010,060014010003006,615
060014010003011,060014010003008,14666
060014010003012,060014010003008,577
060014010003013,060014010003009,785
060014010003014,060014010003009,19691
060014010003015,060014010003010,817
060014010003016,060014010003010,9025
060014010003017,060014010003011,15210
060014010003018,060014010003012,652
060014010003019,060014010003012,21941
060014010003020,060014010003013,5290
060014010003021,060014010006001,16242
060014010003022,060014010006006,2236
060014010003023,060014010006007,13547
060014010004000,060014010004000,7397
060014010004001,060014010004000,11551
060014010004002,060014010004000,761
060014010004003,060014010004001,17046
060014010004004,060014010004002,369
060014010004005,060014010004004,2965
060014010004006,060014010004005,564
060014010004007,060014010004005,17565
060014010004008,060014010004008,731
060014010004009,060014010004008,13984
060014010004010,060014010004003,1354
060014010004011,060014010004009,7048
060014010004012,060014010004008,8979
060014010004013,060014010004008,987
060014010004014,060014010004008,898
060014010004015,060014010004007,17112
060014010004016,060014010004006,677
060014010004017,060014010004011,476
060014010004018,060014010004010,21797
060014010005000,060014010005008,21203
060014010005001,060014010005011,4333
060014010005002,060014010005012,667
060014010005003,060014010005009,24817
060014010005004,060014010005008,3645
060014010005005,060014010005010,22814
060014010005006,060014010005001,2605
060014010005007,060014010005002,3008
060014010005008,060014010005004,5211
060014010005009,060014010005012,22649
060014010005010,060014010005005,20757
060014010005011,060014010005005,654
060014010005012,060014010005006,24118
060014010005013,060014010005007,714
060014010005014,060014010005007,21814
060014010005015,060014010005015,8314
060014010005016,060014010005015,370
060014010006000,060014010006000,7745
060014010006001,060014010006012,1173
060014010006002,060014010006011,15887
060014010006003,060014010006010,16975
060014010006004,060014010006009,33742
060014010006005,060014010006008,28358
060014010006006,060014010006005,2141
060014010006007,060014010006002,23405
060014010006008,060014010006003,8065
060014010006009,060014010006004,8953
060014010006010,060014010006013,737
060014010006011,060014010006013,26310
060014010006012,060014010006015,27086
060014011001000,060014011001000,1141
060014011001001,060014011001001,1605
060014011001002,060014011001002,17129
060014011001003,060014011001003,8783
060014011001004,060014011001004,9586
060014011001005,060014011001005,17477
060014011001006,060014011001006,16973
060014011001007,060014011001006,254
060014011001008,060014011001007,1252
060014011001009,060014011001006,325
060014011001010,060014011001006,733
060014011001011,060014011001008,438
060014011001012,060014011001009,1623
060014011001013,060014011001008,38096
060014011001014,060014011001010,25716
060014011001015,060014011001010,909
060014011001016,060014011001011,890
060014011001017,060014011001011,25483
060014011002000,060014011002000,28427
060014011002001,060014011002000,847
060014011002002,060014011002005,1112
060014011002003,060014011002001,33163
060014011002004,060014011002002,13010
060014011002005,060014011002003,947
060014011002006,060014011002003,27580
060014011002007,060014011002004,1287
060014011002008,060014011002011,1491
060014011002009,060014011002006,1222
060014011002010,060014011002007,23109
060014011002011,060014011002008,23658
060014011002012,060014011002009,24475
060014011002013,060014011002010,1143
060014011002014,060014011002009,860
060014011002015,060014011002009,658
060014011003000,060014011003000,11445
060014011003001,060014011003001,12401
060014011003002,060014011003002,15535
060014011003003,060014011003002,751
060014011003004,060014011003003,2140
060014011003005,060014011003004,1823
060014011003006,060014011003006,438
060014011003007,060014011003005,12751
060014011003008,060014011003005,877
060014011003009,060014011003009,26813
060014011003010,060014011003010,1255
060014011003011,060014011003000,913
060014011003012,060014011003008,29125
060014011003013,060014011003006,973
060014011003014,060014011003006,39514
060014011003015,060014011003007,16523
060014011003016,060014011003006,378
060014011003017,060014011003011,22447
060014011003018,060014011003011,915
060014011003019,060014011003011,4628
060014011004000,060014003003019,4988
060014011004001,060014011004000,2006
060014011004002,060014011004001,1007
060014011004003,060014011004002,18196
060014011004004,060014011004002,6672
060014011004005,060014011004013,7106
060014011004006,060014011004003,660
060014011004007,060014011004003,25469
060014011004008,060014011004002,810
060014011004009,060014011004005,5044
060014011004010,060014011004005,9648
060014011004011,060014011004005,5141
060014011004012,060014011004004,14275
060014011004013,060014011004010,25540
060014011004014,060014011004010,715
060014011004015,060014011004011,9660
060014011004016,060014011004020,611
060014011004017,060014011004011,549
060014011004018,060014011004021,2750
060014011004019,060014011004012,5005
060014011004020,060014011004007,6435
060014011004021,060014011004006,6208
060014011004022,060014011004006,6249
060014011004023,060014011004016,9650
060014011004024,060014011004015,4669
060014011004025,060014011004015,18799
060014011004026,060014011004008,30170
060014011004027,060014011004009,11999
060014011004028,060014011004014,13639
060014011004029,060014011004019,2548
060014011004030,060014011004016,703
060014011004031,060014011004017,7509
060014011004032,060014011004017,7355
060014011004033,060014011004018,6295
060014011004034,060014011004022,12214
060014011004035,060014011004022,8801
060014011004036,060014011004024,7941
060014011004037,060014011004020,765
060014012001000,060014012001023,8079
060014012001001,060014012001001,880
060014012001002,060014012001002,1276
060014012001003,060014012001003,1285
060014012001004,060014012001004,2016
060014012001005,060014012001005,1261
060014012001006,060014012001006,15552
060014012001007,060014012001007,11985
060014012001008,060014012001008,6310
060014012001009,060014012001001,7232
060014012001010,060014012001010,8651
060014012001011,060014012001011,10109
060014012001012,060014012001012,11270
060014012001013,060014012001013,26226
