zcta,BlockCode,TechCategory,max_ad_down,max_ad_up
94501,060014272004010,Fiber to the Premises,1000.0,1000.0
94501,060014272004011,Copper (DSL/VDSL),18.0,1.5
94501,060014272004013,Copper (DSL/VDSL),100.0,20.0
94501,060014272004014,Copper (DSL/VDSL),100.0,20.0
94501,060014272004017,Copper (DSL/VDSL),50.0,10.0
94501,060014272004017,Fiber to the Premises,1000.0,1000.0
94501,060014272005000,Copper (DSL/VDSL),50.0,10.0
94501,060014272005001,Copper (DSL/VDSL),100.0,20.0
94501,060014272005007,Copper (DSL/VDSL),1.5,0.384
94501,060014273001000,Copper (DSL/VDSL),25.0,5.0
94501,060014273001000,Fiber to the Premises,1000.0,1000.0
94501,060014273001001,Copper (DSL/VDSL),25.0,5.0
94501,060014273001001,Fiber to the Premises,1000.0,1000.0
94501,060014273001002,Copper (DSL/VDSL),25.0,5.0
94501,060014273001002,Fiber to the Premises,1000.0,1000.0
94501,060014273001003,Copper (DSL/VDSL),18.0,1.5
94501,060014273001003,Fiber to the Premises,1000.0,1000.0
94501,060014273001006,Copper (DSL/VDSL),50.0,10.0
94501,060014273001006,Fiber to the Premises,1000.0,1000.0
94501,060014273001007,Copper (DSL/VDSL),25.0,5.0
94501,060014273001007,Fiber to the Premises,1000.0,1000.0
94501,060014273001010,Copper (DSL/VDSL),50.0,10.0
94501,060014273001010,Fiber to the Premises,1000.0,1000.0
94501,060014273001011,Copper (DSL/VDSL),75.0,20.0
94501,060014273001011,Fiber to the Premises,1000.0,1000.0
94501,060014273001012,Copper (DSL/VDSL),50.0,10.0
94501,060014273001012,Fiber to the Premises,1000.0,1000.0
94501,060014273001013,Copper (DSL/VDSL),100.0,20.0
94501,060014273001013,Fiber to the Premises,1000.0,1000.0
94501,060014273001014,Copper (DSL/VDSL),100.0,20.0
94501,060014273001014,Fiber to the Premises,1000.0,1000.0
94501,060014273002001,Copper (DSL/VDSL),50.0,10.0
94501,060014273002001,Fiber to the Premises,1000.0,1000.0
94501,060014273002004,Copper (DSL/VDSL),100.0,20.0
94501,060014273002004,Fiber to the Premises,1000.0,1000.0
94501,060014273002005,Copper (DSL/VDSL),25.0,5.0
94501,060014273002005,Fiber to the Premises,1000.0,1000.0
94501,060014273002008,Copper (DSL/VDSL),3.0,1.0
94501,060014273002009,Copper (DSL/VDSL),3.0,1.0
94501,060014273002010,Copper (DSL/VDSL),3.0,1.0
94501,060014273002011,Copper (DSL/VDSL),5.0,1.0
94501,060014273002012,Copper (DSL/VDSL),100.0,20.0
94501,060014273002012,Fiber to the Premises,1000.0,1000.0
94501,060014273002013,Copper (DSL/VDSL),100.0,20.0
94501,060014273002014,Copper (DSL/VDSL),3.0,1.0
94501,060014273002014,Fiber to the Premises,1000.0,1000.0
94501,060014273002017,Fiber to the Premises,1000.0,1000.0
94501,060014273002018,Copper (DSL/VDSL),0.768,0.384
94501,060014273002019,Copper (DSL/VDSL),0.768,0.384
94501,060014273002020,Copper (DSL/VDSL),3.0,0.384
94501,060014273002020,Fiber to the Premises,1000.0,1000.0
94501,060014273002021,Fiber to the Premises,1000.0,1000.0
94501,060014273002022,Fiber to the Premises,1000.0,1000.0
94501,060014273003000,Copper (DSL/VDSL),100.0,20.0
94501,060014273003000,Fiber to the Premises,1000.0,1000.0
94501,060014273003001,Fiber to the Premises,1000.0,1000.0
94501,060014273003002,Copper (DSL/VDSL),5.0,1.0
94501,060014273003002,Fiber to the Premises,1000.0,1000.0
94501,060014273003006,Copper (DSL/VDSL),25.0,5.0
94501,060014273003006,Fiber to the Premises,1000.0,1000.0
94501,060014273003007,Copper (DSL/VDSL),6.0,1.0
94501,060014273003007,Fiber to the Premises,1000.0,1000.0
94501,060014273003008,Copper (DSL/VDSL),3.0,1.0
94501,060014273003008,Fiber to the Premises,1000.0,1000.0
94501,060014273004000,Fiber to the Premises,1000.0,1000.0
94501,060014273004001,Copper (DSL/VDSL),50.0,10.0
94501,060014273004001,Fiber to the Premises,1000.0,1000.0
94501,060014273004002,Copper (DSL/VDSL),25.0,5.0
94501,060014273004002,Fiber to the Premises,1000.0,1000.0
94501,060014273004003,Copper (DSL/VDSL),50.0,10.0
94501,060014273004003,Fiber to the Premises,1000.0,1000.0
94501,060014273004005,Copper (DSL/VDSL),18.0,1.5
94501,060014273004006,Copper (DSL/VDSL),100.0,20.0
94501,060014273004006,Fiber to the Premises,1000.0,1000.0
94501,060014273004008,Copper (DSL/VDSL),100.0,20.0
94501,060014273004008,Fiber to the Premises,1000.0,1000.0
94501,060014273004010,Copper (DSL/VDSL),50.0,10.0
94501,060014273004010,Fiber to the Premises,1000.0,1000.0
94501,060014273004011,Copper (DSL/VDSL),100.0,20.0
