zcta,median_download_mbps,mean_download_mbps,p75_download_mbps,std_download_mbps,var_download_mbps,download_test_count,median_download_latency_ms,mean_download_latency_ms,mlab_year,mlab_month,median_household_income,median_household_income_moe,acs_end_year
94606,35.74021574773862,118.98113851186832,125.16004026961896,185.10706859993255,34264.62684566015,7338,9.687,17.968087489779233,2020,12,63188.0,3270.0,2020
94607,84.32979821721301,115.6698381908735,160.54199516151743,133.71728860791015,17880.313272651136,5236,9.11,13.622099503437738,2020,12,60181.0,5775.0,2020
94608,117.61907185685928,238.79185227921775,490.9389206526984,239.4242594612099,57323.97601854876,3297,5.484,13.14817652411283,2020,12,95716.0,6315.0,2020
94610,63.789162788272776,122.72215657690464,145.9427254178724,162.9726591147465,26560.087618931375,6366,8.4885,14.508554351240967,2020,12,104919.0,5593.0,2020
94611,88.72609395465537,153.00631692915215,209.40762802275063,184.97127365411737,34214.37207722638,15305,8.968,14.045069911793531,2020,12,136538.0,10453.0,2020
94612,80.4908060881643,151.34635769318473,204.22176519062305,185.62561938727103,34456.870572908025,1924,7.1055,12.865132536382536,2020,12,59773.0,10814.0,2020
94618,37.0820562651018,106.52513392383432,120.93798280776848,162.4759377577261,26398.43035025248,5709,5.884,10.042930811000174,2020,12,169856.0,17538.0,2020
94621,13.381317956494245,34.8641885723925,40.992680048719066,62.65782129829359,3926.002569848894,3411,29.74,32.126682204632075,2020,12,40813.0,5983.0,2020
94702,68.64987646339088,165.42589574846815,254.7257151054161,211.95407934853569,44924.53175248536,756,5.34,14.25136507936508,2020,12,85357.0,11343.0,2020
94703,84.28242595678019,169.99653255611116,230.4683485533509,216.09837419899836,46698.50733145032,4357,5.708,10.940303190268532,2020,12,87114.0,9370.0,2020
94704,65.90066670883263,66.37742529128164,72.93080236490916,18.921208055082325,358.0121142637122,7,6.85,22.377714285714287,2020,12,46735.0,8897.0,2020
94705,110.61755449637867,203.64937443845457,315.8746122319938,216.5084535919323,46875.910476769895,2465,5.608,18.092849898580123,2020,12,139029.0,8534.0,2020
94706,34.69186678790777,75.76076134707824,84.59848366457392,129.65012049670392,16809.153744809842,648,6.651,13.00442901234568,2020,12,107669.0,6996.0,2020
94707,85.37201535933485,149.88511512143518,196.16967599025477,187.71672987835083,35237.57067622173,3777,5.735,19.953253110934604,2020,12,161332.0,17252.0,2020
94708,66.79978985938051,156.49279170701072,198.8802642508538,211.1078343044842,44566.517704729566,1982,9.418,12.00029061553986,2020,12,192577.0,5228.0,2020
94709,71.51388455834059,130.62833227956142,203.9649060765702,167.01331484690266,27893.447336150635,2020,7.362500000000001,14.1288599009901,2020,12,75721.0,8559.0,2020
94710,132.255589461665,162.50960242501202,244.0295191442121,154.5002954545052,23870.341295529397,336,7.2275,14.810056547619048,2020,12,97917.0,10265.0,2020
95377,79.9411235973482,111.4723661556922,175.1303117289788,113.43478788739635,12867.451103058604,1683,16.973,31.439238859180037,2020,12,119614.0,7650.0,2020
95391,113.53966234068037,201.89977402529323,322.36276329188024,199.46543594589124,39786.46013708444,2947,9.111,12.929677638276214,2020,12,160902.0,12523.0,2020
